id,socre,label,text,,,,
1,0.7023 ,,No privacy. The problem with Facebook and all social media that your information is everywhere. They sell your information. And they also give the government your information.. its not about gather with friends. Your data is sold The same thing goes for Google . Listen to your Conversations and report back to there makers. A database is made. They can use this to incriminate you . Even if you havent done anything wrong. Youre signing your life away and you dont even know it. They are contracts you cant even read them. It would take you weeks to read . Even if you delete your account it doesnt guarantee the use doesnt guarantee you complete 100% delete of your data its sold . Dont be fooled. believing youre safe. Your address and phone number out there. Why do you think so many people your phone number. Think about before you sign,,,,
2,0.6859 ,,Privacy. Just look below to all of the data that Facebook uses that is linked to you for their profit.big thumbs down.,,,,
3,0.6671 ,,Facebook is Privacy nightmare. FB will sell your soul (or data) to the devil for a few cents if they could If you read their new terms of service you would be terrified. You have no privacy for you or anything on your phone,,,,
4,0.6623 ,,"Your personal information is opened for sell. Beware, you are like a sell cow in catalog, and facebook selling all information and doesn't care you anymore",,,,
5,0.6544 ,,Tech support and selling your information. Tech support is horrible not to mention they allow companies to use your information. Facebook is evil on many levels but screening and filtering to their benefit is #1 priority.,,,,
6,0.6486 ,,Privacy is Nonexistent. I am hoping to see Facebook broken up.,,,,
7,0.6448 ,,FB DOES NOT WANT TO PROTECT YOUR PRIVACY. FB will do anything they can to get all information on you and sell it. They make it impossibly difficult and confusing to change your privacy settings. Its laid out that way so most people (especially the older crowd) cant figure out. Much better social media apps out there. Use something else FB is dead,,,,
8,0.6414 ,,Facebook. Facebook sells your information. Its not a trusted site. Really should dismantled.,,,,
9,0.6394 ,,Biased. Facebook sells your private information to third party companies. It tracks you and send those information to third party companies as well. It is selective and may remove your post with dictated nonsense reasons.,,,,
10,0.6391 ,,"PRIVACY. What happened to yall protecting our PRIVACY?Why is there a need to know all our dang DATA?, including health and fitness, finances, contacts, browsing history, usage data, precise location, search history, purchases, diagnostics, identifiers, and other sensitive information. Do something about it, because we deserve to have a certain amount of privacy on these apps and FB is not providing it This is poor servicing",,,,
11,0.6338 ,,"Privacy. Facebook are made it easy to steal people privacy. It is creepy because they can spy on your websites. Moreover, they hand the info to a third and fourth parties ...etc. It is all about business and we are for sale by the company. Shame on Facebook.",,,,
12,0.6324 ,,"No privacy, no rights. Facebook is a very invasive app into you privacy, it snoops into your online shopping and then bombardes you with ads. There is no freedom of speech and there is not a group for everyone, if Facebook doesnt like your thing they ban it. You have zero rights with this terrible company. DO NOT JOIN",,,,
13,0.6299 ,,Privacy Violations. Download your data and you will learn things about you that Facebook shouldnt know.,,,,
14,0.6280 ,,Facebook selling our information. Its really bad.,,,,
15,0.6257 ,,"Easy Access, Uncensored, and Unprivate. I give one star to FACEBOOK, because any knowledgeable hacker can hack your profile on this website it is NOT PRIVATE it can be easily accessed of your account your PICTURES, your IDENTITY and any messages sent via MESSENGER can be accessible on FACEBOOK so if your looking for privacy my suggestion and advice dont seek SOCIAL MEDIA.",,,,
16,0.6180 ,,no privacy . no privacy for what do you need from,,,,
17,0.6175 ,,No privacy. I wouldnt download useless you want to be tracked by Facebook,,,,
18,0.6150 ,,"FCc. You are not allowed to track personal details on our accounts. I am reporting facebook and all the requests to review things that don't work.  I hide things and it doesn't work, disable doesn't work basically Facebook is old and nothing works goodbye FB done had to give a star or it wouldn't post. I would give negative 500000",,,,
19,0.6149 ,,Privacy exposure. I advice every Facebook user to delete the app and deactivate their account. I just found out that so many people private messages and pictures are being monitored by the administration. I saw my naked videos and pictures in a database since I started looking into it. A word for the wise is quite sufficient,,,,
20,0.6062 ,,"Standards. Facebook is trash, dont let them harvest your personal information like that.",,,,
21,0.6043 ,,Horrible privacy. I cant stress enough how bad mark Zuckerberg and the rest of Facebook is with privacy. Thanks for exposing our credit cards and other data,,,,
22,0.6038 ,,Lets start with. The fact that facebook released data showing personal information to undisclosed persons. They have been hacked and Ive been shadow banned for sharing my opinions. I can not get on IG (owned by Facebook) and go live because Ive been banned. I cant add anything on marketplace across platforms for some reasons. Facebook is now being exposed in the news for hurting the minds of children and mowing about it and still putting profits over anything else. Disgusting app by small hat CEO.,,,,
23,0.6035 ,,Bias party and concerning privacy breaches. Avoid facebook. Its only value was the marketplace and the ability to save game data. The measures they take to collect your information is concerning.,,,,
24,0.6027 ,,They just care about selling your personal info. All they care about is how much of your personal information they can gather and sell. Facebook has went way downhill since it first started I only used it mainly for selling on marketplace and business networking but now i wont even be using it for that after they removed my latest marketplace item for no reason when i have been buying and selling on marketplace for years and have a 5 star rating Facebook is worthless,,,,
25,0.6026 ,,"Get your family off the app. Their information is being stolen because they dont understand how selling information works. Try to get your family, especially elders and children to stop using the app, so much private information gets shared through Facebook because they believe they are posting privately when most of the time they very much arent.",,,,
26,0.5989 ,,Steals Information. Making Facebook required to run devices and apps owned by the user while Facebook steals private information should be illegal.,,,,
27,0.5914 ,,"The People make this app Entertaining. Other than that, they steal your data. From who you are, where you live, your address, your phone number, your location. Your contacts, your email address. In some cases your credit card information. They track what you do. What you view on online stores. You can personalize the ads yes. Facebook also controls the ads you see on YouTube, Google, Amazon, Etc. I always deactivate my profile until I log back in for it to reactivate. Thats your best bet. If you dont use Facebook. Just do that, dont just delete the app. Youll be surprised how easy it is to find out information about someone. If they have a Facebook account. Even if you havent used your profile in 10+ years. It is still there..just deactivate it.",,,,
28,0.5906 ,,"Write to your legislators. Privacy is important. Today Facebook has monopolized the social media applications in order to promote consumerism by selling our data. However, Facebook refuses to incorporate measures to protect people from human and child trafficking, drugs, cults, and racism. There needs to be laws on the books to hold those at Facebook accountable as they are the middle man. Finally, where are we going with this platform which reeks of entitlement? When you think about how corporations donate to political campaigns and what this platform has done to ruin presidential elections such as the one won by Trump- I say deactivate my account. I would rather talk to my real friends in person. Pick up a phone- reach out and touch someone. Personally, I would prefer it to a GIF or a like.",,,,
29,0.5903 ,,"Not for Privacy. Over and over and over Facebook has proven they care nothing about their customers. Privacy is not one of their concerns as they collect and sell everything you see, search, post and share. Ive been with them for since the beginning but Im done with them and their corrupt evil ways. Id rather pay for a secure app than sell my soul for this free app remember, nothing is free. As the app is becoming overrun with pedophilia, political censorship, elimination of personal thoughts and limiting everyones freedoms of speech I will just distance myself from these types of people and behaviors. God Bless America",,,,
30,0.5869 ,,"Customer support. I enjoy Facebook. But the customer support is crap. Then ensuring your safety and privacy is a lie. I had my Facebook hacked and so have a bunch of other people. There is no way to directly contact someone and even though several people have reported my Facebook as hacked they still have not done anything about it. The guy who hacked my Facebook is conversating, laughing, and messing with my friends and family including my kid. Thinking this who thing is a joke. I have personal information on my Facebook and they are not protecting my privacy. I am scared for my safety and the information he most liky accessed including my home address. They need to figure out a better system and take care of issues like this immediately. They want to kick people off for petty issues but will not help resolve important issues. Facebook is a good way for keeping in touch with family and friends but they do not ensure your safety or privacy like they say they do.",,,,
31,0.5850 ,,They steal too much information. Do your research in what Facebook its bias and unsafe and tracks everything you do kinda like iPhones and Google,,,,
32,0.5834 ,,Not forthcoming on the apps privacy risks. Facebook is supporting human trafficking. We have been trying to locate my sister that has been trafficked through Facebook overseas. Facebook has been non compliant with authorities in our investigation. Facebook is a criminal enterprise.,,,,
33,0.5815 ,,"SS#, Birth Certificate and ID Required. I have heard if you try to change your name on FB that they need pictures of that I didnt believe it. Well my friend needed some money and I was going to send her $20 and FB told me that in order for me to send the money they needed my SS#, a picture of my birth certificate and my ID. I didnt know that a social platform needed access to these things? I, of course denied it. People have said that FB will lock you out of your account if you do not provide these things. But I think for a social platform they are asking too much. Its just suppose to be a way for us to keep connected. Not something that they need our information like that.",,,,
34,0.5812 ,,"Disappointing. Im giving fb two stars because for awhile I have noticed people I am not associated with have pictures of my daughter on their Facebook. My daughter is only 4 years old. For what ever reason I cannot find where to make my profile completely private. The only things I can see that are private are my about me info and what ever I post/share. My featured photos cant be made private and it really irritates me that fb changed the privacy settings making it impossible for our profiles to be 100% private and inaccessible from people we dont know and arent friends with. Fb used to have better privacy settings that way when you set your profile to private absolutely no one youre not friends with can see your pictures or about me info. The more time passes and the more problems that pop up it makes me think the Facebook company as a whole does not care about its users right to complete privacy from random unknown people on the internet. I mean theres a setting to keep people from looking you up from a search engine hows that actually useful? Its useful in one aspect thats it. Id really like to be able to completely block out anyone I dont know without having to block everyone of those people, thats just time consuming.",,,,
35,0.5810 ,,Steals your data to make money. You are their product and they make money out of you. It should not be Facebook it should be called .. you know.,,,,
36,0.5808 ,,"Facebook. FB hides under a free social communication tool. They track us, they locate us, they algorithm our social and mental acuity - I own a marketing agency and while I need Facebook to market our clients products - I know what they are. There are so many privacy infringement violations and social travesties. They will continue to hold society hostage and thus my agency will continue to thrive sigh.",,,,
37,0.5801 ,,Zero privacy. Zuckerberg has the money/power to do what he wants with our information think about it,,,,
38,0.5797 ,,"Your privacy is being assault by Facebook. Dont trust further this app and company :Facebook, Instagram and WhatsApp. They sneak into your privacy data and sale it and make all kinds of profit from it.",,,,
39,0.5786 ,,"Im only giving Facebook one star and only to write this review. This is a Public service announcement and a review about Facebook the company better known as Facebook has flagged my email and has disabled my account for no reason at all. Example I went two whole weeks without using Facebook messenger or any associated app or website, I was dormant in using the app and as soon as I logged in I was logged back out automatically and notified I violated their community guidelines. Once I was put on notice I had the option to file a request for a  review of my account where I was then asked to upload a picture of my photo ID, so I managed to regain access to delete that account and created a new account under a different email and two days later was automatically signed out of my account  yet again and was notified that I was using multiple accounts and had to confirm the account I had deleted or permanently loose the account I had just made. I would not recommend this social platform for anybody because they track you using GEO location on your phone, monitor your microphone, and camera, and watch you 24/7  they require your physical address, phone number, and email, they require you to upload a photo ID or birth certificate. Meta previously known as Facebook is in association with 3rd party corporations in China where they take all data collected on you and sell it to big businesses and profit off your rights to use their services. They monitor each like, comment, and message made through Facebook app or messenger. It is not safe and idk why its even legal to use in the United States. As far as Im concerned Facebook is a CIA platform and is only free to the public to monitor and track each person online. They even monitor you when you arent using their app. As long as you have the app downloaded on your device regardless online or offline they still watch and monitor you, they track your microphone and your camera so Id be advised and delete the app, go to something else like MySpace, or something.",,,,
40,0.5779 ,,"Adapt or Die. Facebook needs a new business model, since the one it helped invent is now known as cyber-stalking. It&#39;s great that they helped the world realize this is a boundary, but they have yet to adapt to said realization. They intentionally do not allow you to update the photos they have access to from the app. If you cannot select which photos you want to share with them, you may be more inclined to share all of your photos out of convenience. Given their business is based on nonconsensual data harvesting, it&#39;s not a surprise to me.",,,,
